"accuracy","kappa","sensitivity","specificity","ppv","npv","BIC","z"
0.547453703703704,0.0949074074074074,0.458333333333333,0.636574074074074,0.557746478873239,0.540275049115914,957.530932791801,2.44831302573864
0.517361111111111,0.0347222222222223,0.657407407407407,0.377314814814815,0.513562386980109,0.52411575562701,952.631666795466,3.41139984219088
0.582175925925926,0.164351851851852,0.488425925925926,0.675925925925926,0.601139601139601,0.569200779727095,957.332518629476,1.80746820732717
0.561342592592593,0.122685185185185,0.685185185185185,0.4375,0.549165120593692,0.581538461538462,926.556987704443,6.88336303145135
0.446759259259259,-0.106481481481482,0.618055555555556,0.275462962962963,0.460344827586207,0.419014084507042,962.491451310289,0.464410375007251
0.510416666666667,0.0208333333333333,0.638888888888889,0.381944444444444,0.508287292817679,0.514018691588785,956.952674241542,2.53811791360886
0.523148148148148,0.0462962962962963,0.511574074074074,0.534722222222222,0.523696682464455,0.52262443438914,957.551685641949,1.58521287729651
0.571759259259259,0.143518518518519,0.465277777777778,0.678240740740741,0.591176470588235,0.559160305343511,956.954806415434,1.79320088878481
0.619212962962963,0.238425925925926,0.430555555555556,0.80787037037037,0.691449814126394,0.586554621848739,925.419156322607,5.52983590988118
0.47337962962963,-0.0532407407407407,0.599537037037037,0.347222222222222,0.478743068391867,0.464396284829721,961.925476823121,0.80395508258599
0.578703703703704,0.157407407407407,0.634259259259259,0.523148148148148,0.570833333333333,0.588541666666667,918.717056666986,4.83937031169064
0.481481481481481,-0.0370370370370371,0.321759259259259,0.641203703703704,0.472789115646258,0.485964912280702,957.853549001054,1.92328029196326
0.503472222222222,0.00694444444444442,0.636574074074074,0.37037037037037,0.502742230347349,0.504731861198738,961.171579224167,1.09382965923237
0.574074074074074,0.148148148148148,0.592592592592593,0.555555555555556,0.571428571428571,0.576923076923077,913.942965514628,4.95842623968684
0.546296296296296,0.0925925925925926,0.650462962962963,0.44212962962963,0.538314176245211,0.558479532163743,933.142451417285,3.42743586500844
0.591435185185185,0.18287037037037,0.548611111111111,0.634259259259259,0.6,0.584221748400853,892.546946858938,6.26497296045967
