"","more_result$name","m_AUC","m_accuracy","m_kappa","m_sensitivity","m_specificity","m_ppv","m_npv","BIC"
"1","coefvar + DET + (1 + trial | study) + (1 + trial | id)",0.712368184156379,0.658564814814815,0.31712962962963,0.560185185185185,0.756944444444444,0.697406340057637,0.632495164410058,"1196.5657731479"
"2","coefvar + DET + TT + (1 + trial | study) + (1 + trial | id)",0.711666237997256,0.645833333333333,0.291666666666667,0.560185185185185,0.731481481481482,0.675977653631285,0.624505928853755,"1180.12333870583"
"3","coefvar + LAM + (1 + trial | study) + (1 + trial | id)",0.716397676611797,0.650462962962963,0.300925925925926,0.520833333333333,0.780092592592593,0.703125,0.619485294117647,"1185.13241783738"
"4","coefvar + LAM + mean + (1 + trial | study) + (1 + trial | id)",0.731347522290809,0.657407407407407,0.314814814814815,0.618055555555556,0.696759259259259,0.670854271356784,0.645922746781116,"1199.11621731349"
"5","coefvar + mean + (1 + trial | study) + (1 + trial | id)",0.730147247942387,0.662037037037037,0.324074074074074,0.618055555555556,0.706018518518518,0.677664974619289,0.648936170212766,"1193.94573997852"
"6","coefvar + TT + (1 + trial | study) + (1 + trial | id)",0.713697059327846,0.65625,0.3125,0.581018518518518,0.731481481481482,0.683923705722071,0.635814889336016,"1199.18088559385"
